id,name,description,canonical_description,description_hash,input_params,output_params,object,application,literature
1,Скин-эффект,"Затухание электромагнитных волн по мере их проникновения в глубь проводящей среды. В результате - неоднородное распределение переменного высокочастотного тока по сечению проводника. Ток течет, в основном, в узком поверхностном слое (скин слое) проводника и практически отсутствует в глубине. Чем больше частота тока, тем меньше толщина скин-слоя.","затухание электромагнитных волн по мере их проникновения в глубь проводящей среды.в результате - неоднородное распределение переменного высокочастотного тока по сечению проводника.ток течет,в основном,в узком поверхностном слое(скин слое)проводника и практически отсутствует в глубине.чем больше частота тока,тем меньше толщина скин-слоя.",94b018e16e543389f3a6137918353b94,Электрическое поле. Высокочастотное. Напряженность электрического поля (В/м).,Электрический ток. Неоднородный. Высокочастотный. Плотностьэлектрического тока (А/м**2).,Проводящая среда.,"Электромагнитные экраны, поверхностная закалка стальных изделий. Часто действие эффекта приводит к нежелательным последствиям(не используется полностью сечение провода, возрастает сопротивление провода и потери мощности в нем).","1. Калашников С.Г. Электричество.-М.: Hаука, 1977.-592с. 2. Физический энциклопедический словарь.-М.:Советская энциклопедия, 1983.-928 с. 3. Политехнический словарь./Под.ред.И.И.Артоболевского. -М.:Советская энциклопедия, 1977.-608 с. Отчет МарПИ, 1984 г., стр.266-270."
2,Искровой разряд,"Hеустойчивый электрический разряд в газах, возникающий при ионизации газа по всей длине межэлектродного пространства. Характеризуется прохождением электрического тока по зигзагообразным разветвленным узким ярко освещенным каналам. Возникает в том случае, когда непосредственно после пробоя разрядного промежутка напряжение на нем падает в течение очень короткого времени ниже величины напряжения погасания разряда При увеличении мощности источника напряжения переходит обычно в дуговой разряд.","hеустойчивый электрический разряд в газах,возникающий при ионизации газа по всей длине межэлектродного пространства.характеризуется прохождением электрического тока по зигзагообразным разветвленным узким ярко освещенным каналам.возникает в том случае,когда непосредственно после пробоя разрядного промежутка напряжение на нем падает в течение очень короткого времени ниже величины напряжения погасания разряда при увеличении мощности источника напряжения переходит обычно в дуговой разряд.",51f1b63c60a7bd07219838536d2d2eea,Электрическое поле. Напряженность электрического поля (В/м).,Электрический ток. Смешанный (электронно-ионный). Сила тока (А). Сила тока достигает сотен ампер (в канале молниисотен тысяч ампер).,"Газ, например, аргон, неон, атмосферный газ.","С помощью разряда инициируют взрывы и процессы горения. Используют для измерения высокого напряжения, регистрации заряженных частиц (искровые счетчики, камеры), в переключателях электрических цепей, в спектральном анализе.","1. Мирдель Т. Электрофизика./Пер. с нем.-М.:Мир, 1972. -608 с. 2. Калашников С.Г. Электричество.-М.: Hаука, 1977.592 с. 3. Физический энциклопедический словарь.-М.: Советская энциклопедия, 1983.-928 с. Отчет МарПИ, 1984 г., с. 153-158."
3,Давление света,"Свет производит давление на отражающие и поглощающие его тела; световое давление есть результат передачи телам импульса фотонов. В произвольном случае, когда свет падает под углом ""a"" к поверхности, давление света определяется суммарным импульсом поглощающихся и отражающихся фотонов: p=<w>(1+R)* *(cos a)**2, где <w>- среднее значение объемной плотности энергии фотонов; R- коэффициент отражения света. Для зеркально отражающей поверхности p=2<w>. Специфические особенности давления света обнаруживаются в разряженных атомных системах при резонансном рассеянии света высокой эффективности (в лазерах), когда наблюдается резонансное давление света.","свет производит давление на отражающие и поглощающие его тела;световое давление есть результат передачи телам импульса фотонов.в произвольном случае,когда свет падает под углом ""a"" к поверхности,давление света определяется суммарным импульсом поглощающихся и отражающихся фотонов:p=<w>(1+r)* *(cos a)**2,где <w>- среднее значение объемной плотности энергии фотонов;r- коэффициент отражения света.для зеркально отражающей поверхности p=2<w>.специфические особенности давления света обнаруживаются в разряженных атомных системах при резонансном рассеянии света высокой эффективности(в лазерах),когда наблюдается резонансное давление света.",7ebe0776e0e6cf4737c43a6cbb3012bb,Электромагнитное излучение. Видимое (свет). Монохроматическое. Лазерное. Спектр. Объемная плотность энергии фотонов(Дж/м**3). Увеличение.,Давление света (Па). Увеличение.,"Твердое тело, газ, частицы, молекулы, атомы, например,Н пленка металла, слюды, Ge и Si.","В оптической левитации для удержания мелких частиц (0.1100мкм) в воздухе и др. средах; для разделения их по размерам и показателям преломления; для ускорения микрочастиц вН вакууме до скоростей 3*10**6 м/с. Давление света в конденсированных средах вызывает ток носителей (светоэлектрический эффект в Ge и Si), в атомных явлениях служит для объяснения световой отдачи, в астрофизике- для объяснения формы кометных хвостов и обеспечения стабильности звезд во Вселен-Н ной.","1. Физическая энциклопедия.-М.: Советская энциклопедия, т.1, 1988, с. 553,554. 2. Физическая энциклопедия.-М.: Большая Российская энциклопедия, т.4, 1994, с. 470. 3. Яворский Б.М., Детлаф А.А. Справочник по физике.М.: Hаука, 1985, с. 367."
4,Эффект Коттона-Мутона,Под воздействием однородного магнитного поля некоторые изотропные вещества становятся оптически анизотропными. Вещество приобретает свойства одноосного кристалла. Мерой возникающей оптической анизотропии служит разность показателей преломления обыкновенного и необыкновенного лучей. При прохождении света через анизотропное вещество наблюдается двойное лучепреломление.,под воздействием однородного магнитного поля некоторые изотропные вещества становятся оптически анизотропными.вещество приобретает свойства одноосного кристалла.мерой возникающей оптической анизотропии служит разность показателей преломления обыкновенного и необыкновенного лучей.при прохождении света через анизотропное вещество наблюдается двойное лучепреломление.,a3655653ca2482ffff51d5f78433d8fb,Вход1: Магнитное поле. Однородное. Магнитная индукция (Тл).Вход2:Электромагнитное излучение. Линейно-поляризованное.Монохроматическое. Видимое (свет). Длина волны (м).,Разность показателей преломления обыкновенного и необыкновенного лучей (величина безразмерная).,"Оптически изотропное вещество (твердое тело, жидкость, жидкий кристалл).","Для изучения молекулярной структуры вещества, подвижности молекул и т.д.","1. Ландсберг Г.С. Оптика.-М.:Hаука, 1976.-926 с. 2. Физический энциклопедический словарь.-М.:Советская энциклопедия, 1983.-928 с. Отчет МарПи, 1985 г., стр.221."
5,Возникновение электрических зарядов при трении (трибоэлектричество),"При трении двух химически одинаковых тел положительные заряды получает более плотное из них. Металлы при трении о диэлектрик электризуются как отрицательно, так и положительно. При трении двух диэлектриков положительно заряжается диэлектрик с большей диэлектрической проницаемостью (или с большим поверхностным натяжением для жидких диэлектриков). Электризация трущихся тел тем больше, чем больше их поверхность.","при трении двух химически одинаковых тел положительные заряды получает более плотное из них.металлы при трении о диэлектрик электризуются как отрицательно,так и положительно.при трении двух диэлектриков положительно заряжается диэлектрик с большей диэлектрической проницаемостью(или с большим поверхностным натяжением для жидких диэлектриков).электризация трущихся тел тем больше,чем больше их поверхность.",6561ffda32ea070eda83537e36ed2da5,Силовое (механическое) воздействие. Сила трения (Н).,Электрический заряд (Кл).,"Соприкасающиеся поверхности движущихся тел (твердых, жидких, газообразных).","В устройствах, преобразующих механическую энергию в электрическую (электрофорная машина), в трибоэлектрической дефектоскопии.","1. Физический энциклопедический словарь.-М.:Советская энциклопедия, 1983.-928 с. 2. Дерягин В.В. Что такое трение?.-М.:Издательство АH СССР, 1963. Н Отчет МарПИ, 1984 г., стр.49-53."
6,Электрическое поле электрета,"Электреты, т.е. диэлектрики, длительное время (от нескольких дней до нескольких лет) сохраняющие поляризованное состояние после снятия внешнего воздействия, вызвавшего поляризацию, создают в окружающем пространстве электрическое поле напряженности Е.","электреты,т.е.диэлектрики,длительное время(от нескольких дней до нескольких лет)сохраняющие поляризованное состояние после снятия внешнего воздействия,вызвавшего поляризацию,создают в окружающем пространстве электрическое поле напряженности е.",4d580e89b67cbcd276050bdd9be01bab,Поляризованность (Кл/м**2).,Электрическое поле. Постоянное. Напряженность электрическогополя (В/м).,"Диэлектрик с полярными молекулами, например, аморфный воск, парафин, смола, полимеры, титанаты щелочноземельных металлов, стеатит, ультрафарфор, щелочногалоидные монокристаллы.","Как источники постоянного электрического поля (электретные микрофоны и телеф.,вибродатчики,генераторы слабых перем. сигналов,электрометры,электростат.вольтметры и др);как чувств. датчики в устр.дозиметрии,электр.памяти;в барометрах и т.д.","1. Физический энциклопедический словарь.-М.:Советская энциклопедия, 1983.-928 с. 2. Губкин А.Н. Электреты.-М., 1978."
7,Закон всемирного тяготения,"Hа тело, находящееся в любой точке гравитационного поля, образованного массой ""М1"", действует сила гравитации, зависящая от массы этого тела ""М2"" и от напряженности поля в рассматриваемой точке. Сила взаимного притяжения между двумя материальными частицами (любыми телами при условии, что их линейные размеры много меньше расстояния между ними) пропорциональна произведению масс этих частиц и обратно пропорциональна квадрату расстояния между ними.","hа тело,находящееся в любой точке гравитационного поля,образованного массой ""м1"",действует сила гравитации,зависящая от массы этого тела ""м2"" и от напряженности поля в рассматриваемой точке.сила взаимного притяжения между двумя материальными частицами(любыми телами при условии,что их линейные размеры много меньше расстояния между ними)пропорциональна произведению масс этих частиц и обратно пропорциональна квадрату расстояния между ними.",af8027891df29d1986125225b95f33b5,"Гравитационное поле материальной точки. Напряженность гравитационного поля (Н/кг). От 0 до 10,37 Н/кг.",Силовое (механическое) воздействие. Сила тяготения (Н).,Макроскопическое тело (материальная точка).,"Используется при расчетах движения космических аппаратов и естественных небесных тел, а также в гравиметрической разведке для описания распределения масс, залегающих под земной поверхностью.","1. Яворский Б.М., Детлаф А.А. Cправочник по физике.-М.: Haука, 1965.-847 с. 2. Физический энциклопедический словарь.-М.:Советская энциклопедия, 1983.-928 с. 3. Савельев И.В. и др. Курс общей физики, т.1.-М.: Haука, 1982.-432 с. Отчет ВолгПИ, 1985 г."
8,Эффект Холла,"Если пластинку из металлического проводника или полупроводника, вдоль которого протекает электрический ток плотностью J, поместить в перпендикулярное ей магнитное поле с индукцией В, то в направлении перпендикулярном J и В возникает электрическое поле. Холловская разность потенциалов равна: U = R*J*B*b*sin(a), где b - ширина пластинки, R - постоянная Холла, а- угол между векторами B и J. R зависит от структуры энергетических зон твердого тела, характера носителей заряда, формы Ферми-поверхностей. Для изотропных проводников с одним типом носителей заряда R = 1/ne, где n концентрация носителей заряда, е - заряд электрона. Температурная зависимость R позволяет судить о ширине запрещенной зоны и об энергетической глубине залегания примесных уровней у примесных полупроводников. Эффект Холла относится к нечетным гальваномагнитным явлениям (при изменении направления В на противоположное характеристики электрического поля изменяют знак).","если пластинку из металлического проводника или полупроводника,вдоль которого протекает электрический ток плотностью j,поместить в перпендикулярное ей магнитное поле с индукцией в,то в направлении перпендикулярном j и в возникает электрическое поле.холловская разность потенциалов равна:u = r*j*b*b*sin(a),где b - ширина пластинки,r - постоянная холла,а- угол между векторами b и j.r зависит от структуры энергетических зон твердого тела,характера носителей заряда,формы ферми-поверхностей.для изотропных проводников с одним типом носителей заряда r = 1/ne,где n концентрация носителей заряда,е - заряд электрона.температурная зависимость r позволяет судить о ширине запрещенной зоны и об энергетической глубине залегания примесных уровней у примесных полупроводников.эффект холла относится к нечетным гальваномагнитным явлениям(при изменении направления в на противоположное характеристики электрического поля изменяют знак).",dfa292ae6d441713ab2a0db296e5990a,Вход1: Магнитное поле. Постоянное. Магнитная индукция (Тл).От 0 до 1 Тл.Вход2: Электрический ток (перпендикулярно магнитному полю).Постоянный. Электронный. Сила электрического тока (А). От6*10**-3 до 1 А.,Электрическое поле. Постоянное. Разность потенциалов (В).От 0 до 2.5 В.,"Металлический проводник, полупроводник.","Используется для определения знака и концентрации носителей заряда в металлах и полупроводниках, измерения напряженности магнитного поля, умножения постоянных токов в аналоговых машинах, в измерительной технике (датчики Холла и др.). Является одним из наиболее эффективных методов изучения энергетического спектра носителей заряда в металлах и полупроводниках.","1. Физический энциклопедический словарь.-М.: Советская энциклопедия, 1984, с. 839. 2. Вакулин И.М., Стафеев В.И. Полупроводниковые датчики.-М.: Советское радио, 1975.-104 с. 3. Вейсс Г. Физика гальваномагнитных полупроводниковых приборов и их применение./Пер с нем.-М., 1974. 4. Кобус А., Тушинский Я. Датчики Холла и магниторезисторы.-М.: Энергия, 1971.-352 с. Отчет МарПИ, 1984 г., с. 320-324."
9,Диэлектрический нагрев,"Haгрев диэлектриков в электрическом поле высокой частоты. Чем выше частота поля, тем большее количество тепла выделяется в диэлектрике в единицу времени. Высокочастотный нагрев обеспечивает одновременное и равномерное повышение температуры по всему сечению материала.","haгрев диэлектриков в электрическом поле высокой частоты.чем выше частота поля,тем большее количество тепла выделяется в диэлектрике в единицу времени.высокочастотный нагрев обеспечивает одновременное и равномерное повышение температуры по всему сечению материала.",d0d4226449fda595374936760c0db689,Электрическое поле. Высокочастотное. 1. Напряженность электрического поля (В/м). 2. Частота колебаний (Гц). От 3*10**5до 3*10**8 Гц.,Температура (К). Увеличение.,Диэлектрик.,"Сушка материалов, нагрев пластмасс перед прессованием, сварка пластмасс, склеивание древесины.","1. Брицын Л.Haгрев в электрическом поле высокой частоты.-М.-Л.:Машиностроение, 1965.-96 с. Отчет МарПИ, 1985 г., стр.130."
10,Термическая ионизация,Распад атомов и молекул нейтрального газа на заряженные частицы в результате столкновения вследствие теплового движения при достаточно высокой температуре. Степень термической ионизации газа как функция его температуры и давления оценивается формулой Саха для слабоионизированного газа в состоянии термодинамического равновесия.,распад атомов и молекул нейтрального газа на заряженные частицы в результате столкновения вследствие теплового движения при достаточно высокой температуре.степень термической ионизации газа как функция его температуры и давления оценивается формулой саха для слабоионизированного газа в состоянии термодинамического равновесия.,99d43c4eadadce24c4fbbb769ff00b78,Температура (К). От 10**3 до 10**4 К.,"Поток микрочастиц. Заряженные частицы (ионы, электроны).Степень ионизации (величина безразмерная). От 0 до 1.",Газ.,В дуговых разрядах.,"1. Руцкий А.И. Электрические станции и подстанции, часть 1.-Минск.:Вышейная школа, 1974.-438 с. 2. Кириллин В.А., Сычев В.В., Шейндлин Л.Е. Техническая термодинамика.-М.:Энергия, 1974.-447 с. 3. Физический энциклопедический словарь.-М.:Советская энциклопедия, 1983.-928 с. Отчет ИвЭИ, 1984 г., книга 3, стр.118."
