id,text,gold_input,gold_object,gold_output
1,"Полные потери энергии состоят из статических гистерезисных потерь, классических и потерь на вихревые токи. Величина потерь зависит от частоты перемагничивания, удельного электрического сопротивления, магнитной проницаемости сплава и напряженности магнитного поля. В аморфных материалах потери растут с увеличением частоты и в области высоких частот на долю избыточных потерь приходится 90-99% полных потерь. Это значительно выше доли дополнительных потерь в текстурированной электротехнической стали (Fe-3,2% Si), где они составляют от 36 до 90%.",Магнитное поле. Переменное. Частота перемагничивания (Гц). Увеличение.,"Аморфный сплав, например Fe(80)B(20), Fe(40)Ni(40)B(20), Fe(80)P(14)B(6), Fe(3)Co(72)P(16)B(6)Al(3), Fe(5)Co(70)Si(15)B(10) и др.",Удельные потери энергии (объемная плотность теплового потока) (Вт/м**3). Увеличение.
2,"Свойства аморфных сплавов очень чувствительны к появлению кристаллической фазы. После отжига сплава Fe-Ni-Mo-B-Si, например, вследствие частичной кристаллизации (не более 1%) происходит измельчение доменной структуры, результатом которой является затруднение образования высокочастотных вихревых токов. Потери мощности зависят от объемной доли, размера и характера распределения кристаллов альфа-Fe. При низких частотах в тех же сплавах кристаллическая фаза образуется на поверхности и потери увеличиваются.","Объемная доля кристаллической фазы в сплаве (безразмерная величина). Увеличение от 0 до 0,01.","Сплав на основе железа типа Fe-Ni-Mo-B-Si, например Fe(79-x)Ni(x)Mo(3)B(18-z)Si(z), Fe(75)Ni(4)Mo(3)B(16)Si(2) и др.",Удельные потери энергии (объемная плотность теплового потока) (Вт/м**3). Уменьшение.
3,"В сплавах на основе Fe при температурах ниже температуры Кюри проявляется аномалия теплового расширения. Величина аномалии существенно зависит от состава и у сплава Fe-Zr, Fe-Hf и Fe-Ti наблюдается даже при температурах выше температуры Кюри. У сплава Fe(83)B(17) обнаружены инварные свойства (в интервале температур 273-573 К температурный коэффициент линейного расширения близок к 0) в более широкой области температур, чем у известных кристаллических сплавов. При температуре кристаллизации длина образцов резко снижается.",Температура (К). Увеличение от 50 до 900 К.,"Аморфный сплав, например Fe(80)P(13)C(7), Fe(79)Si(10)B(11), Fe(87)P(13), Fe(88)B(12), Fe(92)Hf(8), Fe(91)Zr(9), Fe(75)Ti(25), Fe(83)B(17) и др.",Температурный коэффициент линейного расширения (К**-1). Немонотонное изменение.
4,"У бинарных сплавов Fe-B и Fe-P наблюдается аномалия температурного расширения (кривые концентрационной зависимости ТКЛР для сплавов характеризуются наличием широкого минимума). Аномалия в случае сплавов Fe-B значительно больше. ТКЛР сплавов Fe-P при увеличении концентрации P от 13 до 19% (ат) изменяется, оставаясь положительным, а у Fe-B при низких концентрациях B (меньше 17 ат.%) ТКЛР отрицательный, при 17% равен 0, затем меняет знак и увеличивается. У сплава Fe(83)B(17) ТКЛР практически равен 0 в области температур 273-573 К.",Относительная (долевая) концентрация (безразмерная величина). Увеличение от 10 до 22 при комнатной температуре.,"Аморфный сплав на основе железа, например Fe-P, Fe-B.",Температурный коэффициент линейного расширения (К**-1). Немонотонное изменение.
5,"При закалке из расплава определяющими величинами для скорости охлаждения являются коэффициент теплопередачи и толщина слоя расплава. При увеличении коэффициента теплопередачи скорость охлаждения увеличивается. Кроме того, на скорость охлаждения влияет наличие слоев окислов и газа между расплавом и металлической подложкой. Нaпример для слоя жидкого железа толщиной 10**-5 м на медной подложке скорость охлаждения расплава до одной и той же температуры при идеальном охлаждении составляет 10**8 К/с и только 10**6 К/с, когда охлаждение полностью контролируется поверхностью раздела и величина коэффициента теплопередачи уменьшается.",Коэффициент теплопередачи расплава (Вт/(м**2*К)). Увеличение.,"Жидкий расплав металла на металлической подложке, например Fe(40)Ni(40)P(14)B(6), AuSi(18-40), NiB(18,5), FeB(9-26), ZrBe(20-40)Nb(0-15), TiNi(0-50)Si(0-20) и др.",Скорость охлаждения расплава (К/с). Увеличение.
6,"Во всех методах закалки из жидкости возможность достижения аморфного состояния определяется скоростью охлаждения. Число Hуссельта - это параметр, характеризующий интенсивность теплопередачи на границе жидкий расплав-металлическая подложка, косвенно определяет возможность перехода жидкого расплава в аморфный металл. Число Hуссельта пропорционально произведению коэффициента теплопередачи на толщину слоя расплава и обратно пропорционально коэффициенту теплопроводности подложки (слой металла в кристаллическом состоянии). Идеальное охлаждение имеет место при числе Hуссельта, стремящемся к бесконечности.",Коэффициент теплопередачи (Вт/(м**2*К)). Уменьшение.,"Аморфный сплав, полученный при закалке из расплава.",Число Нуссельта (безразмерная величина). Уменьшение.
7,"Металлическое стекло - аморфный сплав, полученный без подложки. Величину теплоемкости аморфного сплава можно представить в виде суммы вкладов: фононного, электронного, магнитного и вклада, определяемого эффектами ядерного сверхтонкого взаимодействия. Удельная теплоемкость металлических стекол при низких температурах с ростом температуры увеличивается. У металлических стекол с малым содержанием железа (около 1%) фононный, электронный и магнитный вклады различны при разных температурах.","Температура (К). Увеличение от 0 до 10 К, 650-740 К.","Металлическое стекло, например Fe(1)Ni(79)P(14)B(6).",Удельная теплоемкость при постоянном давлении (Дж/(кг*К)). Увеличение.
8,"Структура аморфных сплавов очень чувствительна к термической обработке. Кристаллизация, структурная релаксация, фазовый распад вызывают значительную перестройку атомной структуры и существенное изменение свойств. Эти процессы можно контролировать диффузией атомов в аморфном твердом теле. При полной кристаллизации сплава Fe(40)Ni(40)P(14)B(6) после отжига обнаружено значительное замедление диффузии фосфора и железа, а в сплаве Ni(33,3)Zr(66,7) значительное ускорение диффузии атомов пластины. При частичной кристаллизации изменения коэффициента диффузии серебра в сплаве Pd(81)Si(19) и кремния в Fe(82)B(12)Si(6) не обнаружены.",Отжиг при температуре кристаллизации. Температура (К). Немонотонное изменение (увеличение до температуры кристаллизации - постоянство - уменьшение).,"Аморфный сплав, например Fe(40)Ni(40)P(14)B(6), Ni(33,3)Zr(66,7), Pd(81)Si(19), Fe(82)B(12)Si(6) и др., превращающийся в кристаллический.","Коэффициент диффузии атомов металла (м**2/c). Уменьшение, увеличение."
9,"Мартенситное превращение - один из основных видов фазовых превращений в твердом состоянии вещества, состоящий в закономерной перестройке решетки при изменении внешних условий (давление, температура). При нагревании аморфных сплавов до 0,6-0,9 температуры плавления в процессе горячего прессования, экструзии, изостатического прессования, спекания, улучшение механических и термических свойств материалов (длительная прочность при высоких температурах, наибольшая твердость, жаропрочность, износостойкость и др.) обусловлены специфической структурой - мартенсит с ультратонкими включениями боридов.","Вход 1. Температура (К). Увеличение до 0,6-0,9 температуры плавления. Вход 2. Давление (Па).","Порошок аморфного сплава на основе Fe, Co, Ni, например Fe(75)Cr(5)W(7)B(8)C(1)Si(1), Fe(63)Cr(22)Ni(3)Mo(2)B(8)C(2), Fe(75)Cr(10)Mo(5)B(8)C(2) и др.",Длительная прочность при высоких температурах (Па). Увеличение.
10,"ЦМД генерируются в аморфной пленке, если направление анизотропии перпендикулярно плоскости пленки и выполняются определенные условия. Существует некоторая область значений напряженности внешнего поля, для которой характерно существование ЦМД. Hижняя граница области соответствует переходу в полосовой домен, верхняя - коллапсу (мгновенному исчезновению доменов). ЦМД можно перемещать вдоль относительно неподвижной поверхности пленки. При увеличении константы магнитной анизотропии скорость перемещения ЦМД уменьшается.",Вход1. Константа магнитной анизотропии (Дж/м**3). Увеличение. Вход2. Магнитное поле. Неоднородное. Градиент напряженности магнитного поля (А/м**2).,"Пленка аморфного сплава Cd-Co, Cd-Fe, Cd-Co-Mo, Co-Cd-Au, Gd-Co-Cr, Dy-Fe, Ho-Fe, Gd-Co-Ni и др.",Скорость перемещения цилиндрических магнитных доменов (ЦМД) (м/с). Уменьшение.
